role,email,password,name,digital_id,broadband_id,cluster_id,operator_id,phone,department,location,sub_distributor_email,cluster_email
operator,op65@example.com,Pass@123,Operator Sixty Five,,,,OP065,,+911234567984,Field Ops,Remote 65,,cluster7@example.com
operator,op66@example.com,Pass@123,Operator Sixty Six,,,,OP066,,+911234567985,Field Ops,Remote 66,,cluster7@example.com
operator,op67@example.com,Pass@123,Operator Sixty Seven,,,,OP067,,+911234567986,Field Ops,Remote 67,,cluster7@example.com
operator,op68@example.com,Pass@123,Operator Sixty Eight,,,,OP068,,+911234567987,Field Ops,Remote 68,,cluster7@example.com
operator,op69@example.com,Pass@123,Operator Sixty Nine,,,,OP069,,+911234567988,Field Ops,Remote 69,,cluster7@example.com
operator,op70@example.com,Pass@123,Operator Seventy,,,,OP070,,+911234567989,Field Ops,Remote 70,,cluster7@example.com
operator,op71@example.com,Pass@123,Operator Seventy One,,,,OP071,,+911234567990,Field Ops,Remote 71,,cluster8@example.com
operator,op72@example.com,Pass@123,Operator Seventy Two,,,,OP072,,+911234567991,Field Ops,Remote 72,,cluster8@example.com
operator,op73@example.com,Pass@123,Operator Seventy Three,,,,OP073,,+911234567992,Field Ops,Remote 73,,cluster8@example.com
operator,op74@example.com,Pass@123,Operator Seventy Four,,,,OP074,,+911234567993,Field Ops,Remote 74,,cluster8@example.com
operator,op75@example.com,Pass@123,Operator Seventy Five,,,,OP075,,+911234567994,Field Ops,Remote 75,,cluster8@example.com
operator,op76@example.com,Pass@123,Operator Seventy Six,,,,OP076,,+911234567995,Field Ops,Remote 76,,cluster8@example.com
operator,op77@example.com,Pass@123,Operator Seventy Seven,,,,OP077,,+911234567996,Field Ops,Remote 77,,cluster8@example.com
operator,op78@example.com,Pass@123,Operator Seventy Eight,,,,OP078,,+911234567997,Field Ops,Remote 78,,cluster8@example.com
operator,op79@example.com,Pass@123,Operator Seventy Nine,,,,OP079,,+911234567998,Field Ops,Remote 79,,cluster8@example.com
operator,op80@example.com,Pass@123,Operator Eighty,,,,OP080,,+911234567999,Field Ops,Remote 80,,cluster8@example.com
operator,op81@example.com,Pass@123,Operator Eighty One,,,,OP081,,+911234568000,Field Ops,Remote 81,,cluster9@example.com
operator,op82@example.com,Pass@123,Operator Eighty Two,,,,OP082,,+911234568001,Field Ops,Remote 82,,cluster9@example.com
operator,op83@example.com,Pass@123,Operator Eighty Three,,,,OP083,,+911234568002,Field Ops,Remote 83,,cluster9@example.com
operator,op84@example.com,Pass@123,Operator Eighty Four,,,,OP084,,+911234568003,Field Ops,Remote 84,,cluster9@example.com
operator,op85@example.com,Pass@123,Operator Eighty Five,,,,OP085,,+911234568004,Field Ops,Remote 85,,cluster9@example.com
operator,op86@example.com,Pass@123,Operator Eighty Six,,,,OP086,,+911234568005,Field Ops,Remote 86,,cluster9@example.com
operator,op87@example.com,Pass@123,Operator Eighty Seven,,,,OP087,,+911234568006,Field Ops,Remote 87,,cluster9@example.com
operator,op88@example.com,Pass@123,Operator Eighty Eight,,,,OP088,,+911234568007,Field Ops,Remote 88,,cluster9@example.com
operator,op89@example.com,Pass@123,Operator Eighty Nine,,,,OP089,,+911234568008,Field Ops,Remote 89,,cluster9@example.com
operator,op90@example.com,Pass@123,Operator Ninety,,,,OP090,,+911234568009,Field Ops,Remote 90,,cluster9@example.com
operator,op91@example.com,Pass@123,Operator Ninety One,,,,OP091,,+911234568010,Field Ops,Remote 91,,cluster10@example.com
operator,op92@example.com,Pass@123,Operator Ninety Two,,,,OP092,,+911234568011,Field Ops,Remote 92,,cluster10@example.com
operator,op93@example.com,Pass@123,Operator Ninety Three,,,,OP093,,+911234568012,Field Ops,Remote 93,,cluster10@example.com
operator,op94@example.com,Pass@123,Operator Ninety Four,,,,OP094,,+911234568013,Field Ops,Remote 94,,cluster10@example.com
operator,op95@example.com,Pass@123,Operator Ninety Five,,,,OP095,,+911234568014,Field Ops,Remote 95,,cluster10@example.com
operator,op96@example.com,Pass@123,Operator Ninety Six,,,,OP096,,+911234568015,Field Ops,Remote 96,,cluster10@example.com
operator,op97@example.com,Pass@123,Operator Ninety Seven,,,,OP097,,+911234568016,Field Ops,Remote 97,,cluster10@example.com
operator,op98@example.com,Pass@123,Operator Ninety Eight,,,,OP098,,+911234568017,Field Ops,Remote 98,,cluster10@example.com
operator,op99@example.com,Pass@123,Operator Ninety Nine,,,,OP099,,+911234568018,Field Ops,Remote 99,,cluster10@example.com
operator,op100@example.com,Pass@123,Operator One Hundred,,,,OP100,,+911234568019,Field Ops,Remote 100,,cluster10@example.com
operator,op101@example.com,Pass@123,Operator 101,,,,OP101,,+911234568020,Field Ops,Remote 101,,cluster11@example.com
operator,op102@example.com,Pass@123,Operator 102,,,,OP102,,+911234568021,Field Ops,Remote 102,,cluster11@example.com
operator,op103@example.com,Pass@123,Operator 103,,,,OP103,,+911234568022,Field Ops,Remote 103,,cluster11@example.com
operator,op104@example.com,Pass@123,Operator 104,,,,OP104,,+911234568023,Field Ops,Remote 104,,cluster11@example.com
operator,op105@example.com,Pass@123,Operator 105,,,,OP105,,+911234568024,Field Ops,Remote 105,,cluster11@example.com
operator,op106@example.com,Pass@123,Operator 106,,,,OP106,,+911234568025,Field Ops,Remote 106,,cluster11@example.com
operator,op107@example.com,Pass@123,Operator 107,,,,OP107,,+911234568026,Field Ops,Remote 107,,cluster11@example.com
operator,op108@example.com,Pass@123,Operator 108,,,,OP108,,+911234568027,Field Ops,Remote 108,,cluster11@example.com
operator,op109@example.com,Pass@123,Operator 109,,,,OP109,,+911234568028,Field Ops,Remote 109,,cluster11@example.com
operator,op110@example.com,Pass@123,Operator 110,,,,OP110,,+911234568029,Field Ops,Remote 110,,cluster11@example.com
operator,op111@example.com,Pass@123,Operator 111,,,,OP111,,+911234568030,Field Ops,Remote 111,,cluster12@example.com
operator,op112@example.com,Pass@123,Operator 112,,,,OP112,,+911234568031,Field Ops,Remote 112,,cluster12@example.com
operator,op113@example.com,Pass@123,Operator 113,,,,OP113,,+911234568032,Field Ops,Remote 113,,cluster12@example.com
operator,op114@example.com,Pass@123,Operator 114,,,,OP114,,+911234568033,Field Ops,Remote 114,,cluster12@example.com
operator,op115@example.com,Pass@123,Operator 115,,,,OP115,,+911234568034,Field Ops,Remote 115,,cluster12@example.com
operator,op116@example.com,Pass@123,Operator 116,,,,OP116,,+911234568035,Field Ops,Remote 116,,cluster12@example.com
operator,op117@example.com,Pass@123,Operator 117,,,,OP117,,+911234568036,Field Ops,Remote 117,,cluster12@example.com
operator,op118@example.com,Pass@123,Operator 118,,,,OP118,,+911234568037,Field Ops,Remote 118,,cluster12@example.com
operator,op119@example.com,Pass@123,Operator 119,,,,OP119,,+911234568038,Field Ops,Remote 119,,cluster12@example.com
operator,op120@example.com,Pass@123,Operator 120,,,,OP120,,+911234568039,Field Ops,Remote 120,,cluster12@example.com
operator,op121@example.com,Pass@123,Operator 121,,,,OP121,,+911234568040,Field Ops,Remote 121,,cluster13@example.com
operator,op122@example.com,Pass@123,Operator 122,,,,OP122,,+911234568041,Field Ops,Remote 122,,cluster13@example.com
operator,op123@example.com,Pass@123,Operator 123,,,,OP123,,+911234568042,Field Ops,Remote 123,,cluster13@example.com
operator,op124@example.com,Pass@123,Operator 124,,,,OP124,,+911234568043,Field Ops,Remote 124,,cluster13@example.com
operator,op125@example.com,Pass@123,Operator 125,,,,OP125,,+911234568044,Field Ops,Remote 125,,cluster13@example.com
operator,op126@example.com,Pass@123,Operator 126,,,,OP126,,+911234568045,Field Ops,Remote 126,,cluster13@example.com
operator,op127@example.com,Pass@123,Operator 127,,,,OP127,,+911234568046,Field Ops,Remote 127,,cluster13@example.com
operator,op128@example.com,Pass@123,Operator 128,,,,OP128,,+911234568047,Field Ops,Remote 128,,cluster13@example.com
operator,op129@example.com,Pass@123,Operator 129,,,,OP129,,+911234568048,Field Ops,Remote 129,,cluster13@example.com
operator,op130@example.com,Pass@123,Operator 130,,,,OP130,,+911234568049,Field Ops,Remote 130,,cluster13@example.com
operator,op131@example.com,Pass@123,Operator 131,,,,OP131,,+911234568050,Field Ops,Remote 131,,cluster14@example.com
operator,op132@example.com,Pass@123,Operator 132,,,,OP132,,+911234568051,Field Ops,Remote 132,,cluster14@example.com
operator,op133@example.com,Pass@123,Operator 133,,,,OP133,,+911234568052,Field Ops,Remote 133,,cluster14@example.com
operator,op134@example.com,Pass@123,Operator 134,,,,OP134,,+911234568053,Field Ops,Remote 134,,cluster14@example.com
operator,op135@example.com,Pass@123,Operator 135,,,,OP135,,+911234568054,Field Ops,Remote 135,,cluster14@example.com
operator,op136@example.com,Pass@123,Operator 136,,,,OP136,,+911234568055,Field Ops,Remote 136,,cluster14@example.com
operator,op137@example.com,Pass@123,Operator 137,,,,OP137,,+911234568056,Field Ops,Remote 137,,cluster14@example.com
operator,op138@example.com,Pass@123,Operator 138,,,,OP138,,+911234568057,Field Ops,Remote 138,,cluster14@example.com
operator,op139@example.com,Pass@123,Operator 139,,,,OP139,,+911234568058,Field Ops,Remote 139,,cluster14@example.com
operator,op140@example.com,Pass@123,Operator 140,,,,OP140,,+911234568059,Field Ops,Remote 140,,cluster14@example.com
operator,op141@example.com,Pass@123,Operator 141,,,,OP141,,+911234568060,Field Ops,Remote 141,,cluster15@example.com
operator,op142@example.com,Pass@123,Operator 142,,,,OP142,,+911234568061,Field Ops,Remote 142,,cluster15@example.com
operator,op143@example.com,Pass@123,Operator 143,,,,OP143,,+911234568062,Field Ops,Remote 143,,cluster15@example.com
operator,op144@example.com,Pass@123,Operator 144,,,,OP144,,+911234568063,Field Ops,Remote 144,,cluster15@example.com
operator,op145@example.com,Pass@123,Operator 145,,,,OP145,,+911234568064,Field Ops,Remote 145,,cluster15@example.com
operator,op146@example.com,Pass@123,Operator 146,,,,OP146,,+911234568065,Field Ops,Remote 146,,cluster15@example.com
operator,op147@example.com,Pass@123,Operator 147,,,,OP147,,+911234568066,Field Ops,Remote 147,,cluster15@example.com
operator,op148@example.com,Pass@123,Operator 148,,,,OP148,,+911234568067,Field Ops,Remote 148,,cluster15@example.com
operator,op149@example.com,Pass@123,Operator 149,,,,OP149,,+911234568068,Field Ops,Remote 149,,cluster15@example.com
operator,op150@example.com,Pass@123,Operator 150,,,,OP150,,+911234568069,Field Ops,Remote 150,,cluster15@example.com
operator,op151@example.com,Pass@123,Operator 151,,,,OP151,,+911234568070,Field Ops,Remote 151,,cluster16@example.com
operator,op152@example.com,Pass@123,Operator 152,,,,OP152,,+911234568071,Field Ops,Remote 152,,cluster16@example.com
operator,op153@example.com,Pass@123,Operator 153,,,,OP153,,+911234568072,Field Ops,Remote 153,,cluster16@example.com
operator,op154@example.com,Pass@123,Operator 154,,,,OP154,,+911234568073,Field Ops,Remote 154,,cluster16@example.com
operator,op155@example.com,Pass@123,Operator 155,,,,OP155,,+911234568074,Field Ops,Remote 155,,cluster16@example.com
operator,op156@example.com,Pass@123,Operator 156,,,,OP156,,+911234568075,Field Ops,Remote 156,,cluster16@example.com
operator,op157@example.com,Pass@123,Operator 157,,,,OP157,,+911234568076,Field Ops,Remote 157,,cluster16@example.com
operator,op158@example.com,Pass@123,Operator 158,,,,OP158,,+911234568077,Field Ops,Remote 158,,cluster16@example.com
operator,op159@example.com,Pass@123,Operator 159,,,,OP159,,+911234568078,Field Ops,Remote 159,,cluster16@example.com
operator,op160@example.com,Pass@123,Operator 160,,,,OP160,,+911234568079,Field Ops,Remote 160,,cluster16@example.com
operator,op161@example.com,Pass@123,Operator 161,,,,OP161,,+911234568080,Field Ops,Remote 161,,cluster17@example.com
operator,op162@example.com,Pass@123,Operator 162,,,,OP162,,+911234568081,Field Ops,Remote 162,,cluster17@example.com
operator,op163@example.com,Pass@123,Operator 163,,,,OP163,,+911234568082,Field Ops,Remote 163,,cluster17@example.com
operator,op164@example.com,Pass@123,Operator 164,,,,OP164,,+911234568083,Field Ops,Remote 164,,cluster17@example.com
operator,op165@example.com,Pass@123,Operator 165,,,,OP165,,+911234568084,Field Ops,Remote 165,,cluster17@example.com
operator,op166@example.com,Pass@123,Operator 166,,,,OP166,,+911234568085,Field Ops,Remote 166,,cluster17@example.com
operator,op167@example.com,Pass@123,Operator 167,,,,OP167,,+911234568086,Field Ops,Remote 167,,cluster17@example.com
operator,op168@example.com,Pass@123,Operator 168,,,,OP168,,+911234568087,Field Ops,Remote 168,,cluster17@example.com
operator,op169@example.com,Pass@123,Operator 169,,,,OP169,,+911234568088,Field Ops,Remote 169,,cluster17@example.com
operator,op170@example.com,Pass@123,Operator 170,,,,OP170,,+911234568089,Field Ops,Remote 170,,cluster17@example.com
operator,op171@example.com,Pass@123,Operator 171,,,,OP171,,+911234568090,Field Ops,Remote 171,,cluster18@example.com
operator,op172@example.com,Pass@123,Operator 172,,,,OP172,,+911234568091,Field Ops,Remote 172,,cluster18@example.com
operator,op173@example.com,Pass@123,Operator 173,,,,OP173,,+911234568092,Field Ops,Remote 173,,cluster18@example.com
operator,op174@example.com,Pass@123,Operator 174,,,,OP174,,+911234568093,Field Ops,Remote 174,,cluster18@example.com
operator,op175@example.com,Pass@123,Operator 175,,,,OP175,,+911234568094,Field Ops,Remote 175,,cluster18@example.com
operator,op176@example.com,Pass@123,Operator 176,,,,OP176,,+911234568095,Field Ops,Remote 176,,cluster18@example.com
operator,op177@example.com,Pass@123,Operator 177,,,,OP177,,+911234568096,Field Ops,Remote 177,,cluster18@example.com
operator,op178@example.com,Pass@123,Operator 178,,,,OP178,,+911234568097,Field Ops,Remote 178,,cluster18@example.com
operator,op179@example.com,Pass@123,Operator 179,,,,OP179,,+911234568098,Field Ops,Remote 179,,cluster18@example.com
operator,op180@example.com,Pass@123,Operator 180,,,,OP180,,+911234568099,Field Ops,Remote 180,,cluster18@example.com
operator,op181@example.com,Pass@123,Operator 181,,,,OP181,,+911234568100,Field Ops,Remote 181,,cluster19@example.com
operator,op182@example.com,Pass@123,Operator 182,,,,OP182,,+911234568101,Field Ops,Remote 182,,cluster19@example.com
operator,op183@example.com,Pass@123,Operator 183,,,,OP183,,+911234568102,Field Ops,Remote 183,,cluster19@example.com
operator,op184@example.com,Pass@123,Operator 184,,,,OP184,,+911234568103,Field Ops,Remote 184,,cluster19@example.com
operator,op185@example.com,Pass@123,Operator 185,,,,OP185,,+911234568104,Field Ops,Remote 185,,cluster19@example.com
operator,op186@example.com,Pass@123,Operator 186,,,,OP186,,+911234568105,Field Ops,Remote 186,,cluster19@example.com
operator,op187@example.com,Pass@123,Operator 187,,,,OP187,,+911234568106,Field Ops,Remote 187,,cluster19@example.com
operator,op188@example.com,Pass@123,Operator 188,,,,OP188,,+911234568107,Field Ops,Remote 188,,cluster19@example.com
operator,op189@example.com,Pass@123,Operator 189,,,,OP189,,+911234568108,Field Ops,Remote 189,,cluster19@example.com
operator,op190@example.com,Pass@123,Operator 190,,,,OP190,,+911234568109,Field Ops,Remote 190,,cluster19@example.com
operator,op191@example.com,Pass@123,Operator 191,,,,OP191,,+911234568110,Field Ops,Remote 191,,cluster20@example.com
operator,op192@example.com,Pass@123,Operator 192,,,,OP192,,+911234568111,Field Ops,Remote 192,,cluster20@example.com
operator,op193@example.com,Pass@123,Operator 193,,,,OP193,,+911234568112,Field Ops,Remote 193,,cluster20@example.com
operator,op194@example.com,Pass@123,Operator 194,,,,OP194,,+911234568113,Field Ops,Remote 194,,cluster20@example.com
operator,op195@example.com,Pass@123,Operator 195,,,,OP195,,+911234568114,Field Ops,Remote 195,,cluster20@example.com
operator,op196@example.com,Pass@123,Operator 196,,,,OP196,,+911234568115,Field Ops,Remote 196,,cluster20@example.com
operator,op197@example.com,Pass@123,Operator 197,,,,OP197,,+911234568116,Field Ops,Remote 197,,cluster20@example.com
operator,op198@example.com,Pass@123,Operator 198,,,,OP198,,+911234568117,Field Ops,Remote 198,,cluster20@example.com
operator,op199@example.com,Pass@123,Operator 199,,,,OP199,,+911234568118,Field Ops,Remote 199,,cluster20@example.com
operator,op200@example.com,Pass@123,Operator 200,,,,OP200,,+911234568119,Field Ops,Remote 200,,cluster20@example.com
